"Entry ID","Lemma ID","Batch","List","Item","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Frequency (Native)","Frequency Sd (Native)","Frequency Z (Native)","Frequency N (Native)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency N (Nonnative)","Frequency Z (Nonnative)","Dominant English Translation","Sign Unknown (%)","English Translation Agreement (%)","Unknown To Participant (%) (Native)","English Name Agreement (%) (Native)","Unknown To Participant (%) (Nonnative)","English Name Agreement (%) (Nonnative)","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity SD","Iconicity Type","Deaf Signer Iconicity","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity N","Deaf Signer Iconicity Z","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","English Translation Agreement","Guess accuracy","Transparency","Transparency SD","Transparency Z","Lexical Class","Sign Onset (ms)","Sign Offset (ms)","Duration (ms)","Video Length (ms)","In CDI","CDI Semantic Category","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Handshape","Selected Fingers","Flexion","Flexion Change","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape M2","Selected Fingers M2","Flexion M2","Flexion Change M2","Spread M2","Spread Change M2","Thumb Position M2","Thumb Contact M2","Sign Type M2","Movement M2","Repeated Movement M2","Major Location M2","Minor Location M2","Second Minor Location M2","Contact M2","Nondominant Handshape M2","Wrist Twist M2","Handshape M3","Selected Fingers M3","Flexion M3","Flexion Change M3","Spread M3","Spread Change M3","Thumb Position M3","Thumb Contact M3","Signtype M3","Movement M3","Repeated Movement M3","Major Location M3","Minor Location M3","Second Minor Location M3","Contact M3","Nondominant Handshape M3","Wrist Twist M3","Handshape M4","Selected Fingers M4","Flexion M4","Flexion Change M4","Spread M4","Spread Change M4","Thumb Position M4","Thumb Contact M4","Sign Type M4","Movement M4","Repeated Movement M4","Major Location M4","Minor Location M4","Second Minor Location M4","Contact M4","Nondominant Handshape M4","Wrist Twist M4","Handshape M5","Selected Fingers M5","Flexion M5","Flexion Change M5","Spread M5","Spread Change M5","Thumb Position M5","Thumb Contact M5","Signtype M5","Movement M5","Repeated Movement M5","Major Location M5","Minor Location M5","Second Minor Location M5","Contact M5","Nondominant Handshape M5","Wrist Twist M5","Handshape M6","Selected Fingers M6","Flexion M6","Flexion Change M6","Spread M6","Spread Change M6","Thumb Position M6","Thumb Contact M6","Sign Type M6","Movement M6","Repeated Movement M6","Major Location M6","Minor Location M6","Second Minor Location M6","Contact M6","Nondominant Handshape M6","Wrist Twist M6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotatio Nfrequency","Phonotactic Probability","Parameter Neighborhood Density","Neighborhood Density","SignBank Reference ID","Age Of Acquisition","Age Of Acquisition (Empirical)"
"1_dollar","1_dollar","C","2","25","null","3.034","1.5","-0.728","29","2.944","1.474","-0.843","18","3.182","1.601","12","-0.541","null","null","null","null","null","0.083","null","1.074","0.267","-0.82","27","null","Arbitrary","2.1","1.45","30","-0.42","2.29","1.49","-0.37","21","null","null","null","null","null","Noun","467","1101","634","1668","No","null","null","null","null","1","c","imrp","Curved","1","null","Open","null","Asymmetrical Different Handshape","Straight","1","Hand","Finger Back","Hand Away","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.019","0.155","0.457","0.449","0.225","0.209","0.446","0.622","0.602","null","0.684","0.657","0.836","-0.02","383","null","1268","null","null"
"5_dollars","5_dollars","B","1","62","null","5.12","1.716","0.302","25","5.214","1.847","0.36","14","5","1.612","11","0.228","null","null","null","null","null","null","null","5.481","1.503","1.308","27","null","Perceptual","3.1","1.4","31","0.09","2.91","1.31","0.04","22","2.16","0.263","4.32","1.49","0.17","Noun","434","767","334","1468","No","null","1","null","null","1","5","imrp","Fully Open","null","null","Open","null","One Handed","None","null","Neutral","Neutral","null","null","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","null","0.153","0.449","0.409","0.791","0.554","0.378","0.398","0.878","0.684","0.657","0.164","0.281","190","4","2436","null","null"
"8_hour","8_hour","C","2","55","null","4.267","1.574","-0.025","30","4.444","1.723","-0.031","18","4","1.348","12","-0.017","null","null","null","null","null","null","null","2.654","1.623","-0.101","26","null","Arbitrary","2.53","1.85","30","-0.19","2.52","1.78","-0.27","21","2.8","null","2.84","1.57","-0.69","Number","501","1235","734","2035","No","null","1","null","null","1","8","m","Curved","null","null","Open","1","Asymmetrical Different Handshape","Circular","null","Hand","Finger Front","Palm","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.015","0.025","0.076","0.045","0.225","0.791","0.554","0.622","null","null","0.316","0.657","0.836","-0.396","129","null","2437","null","null"
"9_oclock","9_oclock","C","2","80","null","4.133","1.592","-0.122","30","4.778","1.478","0.129","18","3.167","1.267","12","-0.497","null","null","null","null","null","null","null","2.741","1.43","0.034","27","null","Arbitrary","3.23","2.03","30","0.14","3.24","2.17","0.06","21","1.69","0.4","3.8","1.99","0.3","Number","534","1268","734","2135","No","null","1","null","1","2","flat_1","i","Flat","null","null","Closed","null","One Handed","Straight","null","Arm","Wrist Back","null","1","null","null","f","i","Curved","null","null","null","Open","1","One Handed","Straight","null","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.026","0.004","null","0.457","0.261","0.162","0.791","0.554","0.622","null","null","0.684","0.343","0.836","-0.252","48","4","2857","null","null"
"a-line_bob","a-line_bob","K","null","null","null","4.273","1.804","0.03","25","4.5","1.069","0.349","11","4.143","2.143","14","-0.152","null","0.12","null","0.273","null","null","null","3.769","1.925","-0.047","26","BOB HAIRCUT","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","634","1301","667","1935","No","null","null","null","null","1","flat_b","imrp","Flat","null","null","Open","null","Symmetrical Or Alternating","Curved","null","Head","Head Away","Head Away","null","flat_b","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.066","0.178","0.233","0.449","0.162","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.164","0.089","158","4","null","null","null"
"a_little_bit","a_little_bit","H","3","25","null","2.963","2.028","-0.762","28","3","2.309","-0.731","14","2.929","1.817","14","-0.79","null","0.036","null","0.071","null","null","null","2.833","1.659","-0.195","24","a little bit","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","434","1101","667","1568","No","null","null","null","null","1","bent_1","t","null","1","null","Closed","null","One Handed","None","1","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","null","0.153","0.057","null","0.209","0.446","0.378","null","null","null","0.343","0.836","-0.758","144","3","null","null","null"
"abbreviate","abbreviate","G","1","40","0.301","5.444","1.528","0.669","27","5.25","1.545","0.566","12","5.6","1.549","15","0.751","short","null","0.63","null","0.75","null","0.533","1.889","1.219","-0.764","27","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","467","1068","601","1802","No","null","null","null","null","1","h","im","Fully Open","null","null","Closed","null","Dominance Violation","Straight","null","Hand","Finger Radial","Hand Away","1","Dominance Violation","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.023","0.25","0.035","0.155","0.457","0.14","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.164","-0.065","368","1","252","null","null"
"about_1","about","B","2","72","5.268","5.48","1.475","0.523","25","5.5","1.787","0.518","14","5.455","1.036","11","0.529","null","null","null","null","null","null","null","2.067","1.484","-0.324","30","null","Arbitrary","1.36","0.8","31","-0.81","1.36","0.85","-0.77","22","2.77","null","3.68","1.46","-0.15","Minor","367","1068","701","1869","No","null","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Asymmetrical Same Handshape","Circular","null","Hand","Hand Away","Finger Tip","1","1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.059","0.25","0.035","0.006","0.076","0.261","0.409","0.791","0.554","0.622","null","null","0.684","0.343","0.164","-0.49","129","2","2043","null","null"
"about_2","about","B","2","3","5.268","3.522","1.534","-0.762","23","3.417","1.564","-0.794","12","3.636","1.567","11","-0.728","null","0.08","null","0.143","null","null","null","2.133","1.279","-0.309","30","null","Arbitrary","1.9","1.27","31","-0.55","1.86","1.15","-0.56","22","2.87","null","3.68","1.8","-0.09","Minor","567","1502","934","2269","Yes","Prepositions and Locations","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Asymmetrical Different Handshape","Circular","null","Hand","Hand Away","Finger Tip","1","O","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.035","0.006","0.076","0.261","0.409","0.791","0.554","0.622","null","null","0.684","0.343","0.164","-0.421","129","null","2042","61","35"
"absolutely_nothing","absolutely_nothing","J","1","27","null","2.957","1.821","-0.686","30","2.833","1.946","-0.906","15","3.091","1.758","15","-0.445","none","0.233","0.409","0.2","0.455","0.267","0.364","1.5","1.142","-0.743","24","absolutely nothing","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Number","534","1001","467","1502","No","null","1","null","null","1","flat_o","imrp","Flat","null","null","Open","1","One Handed","None","null","Head","Mouth","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","null","0.153","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.316","0.657","0.836","0.211","232","3","2044","null","null"
